workload,run-time,cache-misses,instructions,branches,branch-misses,ref-cycles,cycles,faults,bus-cycles,cache-references,context-switches,cpu-clock,L1-dcache-load-misses,L1-dcache-loads,L1-dcache-stores,L1-icache-load-misses,LLC-load-misses,LLC-loads,itlb_misses.stlb_hit,LLC-store-misses,LLC-stores,branch-load-misses,branch-loads,mem-stores,dTLB-load-misses,dTLB-loads,dTLB-store-misses,dTLB-stores,iTLB-load-misses,iTLB-loads,l2_rqsts.all_demand_miss,l2_rqsts.all_demand_references,l2_rqsts.code_rd_miss,l2_rqsts.demand_data_rd_miss,l2_trans.l2_wb,l2_rqsts.miss,l2_rqsts.references,cycle_activity.cycles_mem_any,cycle_activity.stalls_mem_any,cycle_activity.stalls_total,uops_executed.stall_cycles,uops_issued.stall_cycles,uops_retired.stall_cycles,dtlb_load_misses.stlb_hit,dtlb_store_misses.stlb_hit,inst_retired.any,br_misp_retired.all_branches,br_inst_retired.all_branches,br_inst_retired.near_taken,br_inst_retired.near_call,mem_inst_retired.all_loads,mem_inst_retired.all_stores,l1d.replacement,l2_lines_in.all,longest_lat_cache.miss,l1d_pend_miss.pending,l1d_pend_miss.pending_cycles,uops_executed.thread,uops_executed.core_cycles_ge_1,cpu_clk_unhalted.ref_tsc,msr/tsc/,IpMispredict,BpTkBranch,IpBranch,IpCall,IpTB,IpLoad,IpStore,L1D_Cache_Fill_BW,L2_Cache_Fill_BW,L3_Cache_Fill_BW,CPI,MLP,ILP,CPU_Utilization
500.perlbench_r,42,506796161,435363420995,79612366783,849242296,124286596000,177339316284,49017,994293171,3051724574,1455,41861,1385355308,119035544046,74898943359,1743829719,57241061,342273775,12037285,9165793,50711228,870171164,81763044209,79710907136,26910410,122256786688,3560739,79702881849,2711338,13046410,813893867,2887316894,435264045,330330113,307668216,1820368820,4516827162,164951704484,18596773783,30104763887,30106604192,38510814456,61822765489,1698656291,391900863,447304414840,869665435,81783401041,39357391808,3744759783,122299346718,79731793857,1432605131,1825403573,442876056,25057267466,19266098461,527293528627,150837247081,123638801000,124820055716,514.34,2.08,5.47,119.45,11.37,3.66,5.61,2.18,2.78,0.67,0.4,1.3,6.99,0.99
500.perlbench_r,44,532262963,456223611287,83420981903,889626522,130210453375,185807271067,49063,1041683981,3190139046,1499,43860,1447392943,124745871451,78547972567,1822765440,60270954,357884009,12595489,9471151,53067491,913345789,85634783799,83474852615,28444616,128096859934,3756353,83500474494,2854295,13708529,856852995,3036083775,458572561,348254233,324687992,1918121337,4751455139,172939257760,19545052782,31624113374,31626045294,40431273959,64875858802,1784000525,412025866,468513293634,912966255,85669876571,41230551691,3924080125,128109110807,83509095570,1503923352,1921545464,468982416,26435621066,20323313809,551995186191,157942715561,129582429000,130825174931,513.18,2.08,5.47,119.39,11.36,3.66,5.61,2.18,2.79,0.68,0.4,1.3,6.99,0.99
500.perlbench_r,46,564561351,476031295421,87048740837,930358594,136127351500,194254144489,49105,1089019209,3347877735,1560,45859,1514386356,130169086624,82150988241,1910389942,63217236,375681893,13202928,9740273,55440091,956267307,89580232897,87301920648,29876787,133977788819,3936643,87317871118,2989086,14378635,899157241,3184322293,481204763,365698529,340480958,2013096515,4984455619,180932807123,20506191776,33121839907,33123863815,42314399983,67857772723,1862364709,430085399,489852108036,955445191,89584508098,43117648476,4104121652,133960336319,87307256774,1573037687,2009009225,488915324,27590664753,21218441707,577569047102,165245186810,135528963000,136830446698,512.7,2.08,5.47,119.36,11.36,3.66,5.61,2.19,2.79,0.68,0.4,1.3,6.99,0.99
500.perlbench_r,48,592020135,496321079116,90753296238,969840796,142052294375,202672948077,49148,1136418742,3485868890,1571,47860,1575722326,135713798944,85764655621,1997349073,66085593,393131068,13803782,10004345,57539423,998767259,93614641317,91267177416,31069564,139997277757,4094336,91263314678,3102941,14929888,934691998,3309551777,500387726,380226300,355362243,2092957011,5181139048,188906527950,21421902579,34594034719,34596139736,44191382541,70862902358,1950633915,450338729,511772509809,997530325,93576456552,45036553217,4285132489,139944738687,91227862756,1639646470,2094276717,512064295,28868685117,22192542393,602790424305,172437637830,141471869375,142835141050,513.04,2.08,5.47,119.43,11.36,3.66,5.61,2.18,2.79,0.68,0.4,1.3,6.99,0.99
500.perlbench_r,50,616053645,517041259737,94547687349,1010894950,147981359500,211147515725,49193,1183851304,3640404441,1585,49860,1644358445,141391452992,89472388439,2074126438,68743346,408579777,14314808,10242836,59870294,1042002476,97547956902,95094831620,32556764,145749825130,4290868,95011302804,3239771,15592140,976621751,3453576376,522656890,397210089,370924880,2185399336,5406954796,196902756651,22321259180,36046530877,36048716704,46039854296,73834445446,2032988545,469324384,532808659228,1039728180,97425304290,46889071215,4461426236,145698515760,94979588100,1713284148,2190212428,534457600,30139602061,23177390611,627945030299,179662112942,147420248125,148840323787,512.45,2.08,5.47,119.43,11.36,3.66,5.61,2.19,2.8,0.68,0.4,1.3,6.99,0.99
500.perlbench_r,52,641419391,537659629135,98319933297,1052444233,153911688625,219624237619,49240,1231293944,3797006068,1605,51860,1712174186,147031645024,93042024137,2162278984,71945163,426201035,14936089,10552328,62251320,1083714602,101473967000,98906964001,33907299,151692134263,4474772,98869589996,3366955,16274475,1018958156,3598817249,544765405,414257064,387734479,2278390894,5635072008,204872805958,23230703357,37505580669,37507853143,47907034862,76820111929,2119574446,489045831,554295540080,1081508053,101361427691,48785211169,4642583875,151587883103,98810435773,1788663231,2283620792,554975185,31373006458,24133783236,653307222451,186931835447,153367469625,154845954979,512.52,2.08,5.47,119.39,11.36,3.66,5.61,2.2,2.81,0.68,0.4,1.3,6.99,0.99
500.perlbench_r,54,666932588,558269969587,102099254819,1092460582,159839481875,228097438157,49280,1278716328,3953316373,1622,53860,1783891172,152682110437,96626897354,2250706463,74951542,444157947,15536489,10864773,64556259,1125992307,105385773021,102723606621,35306611,157521320078,4664857,102670212127,3498947,16897167,1059469862,3749967489,567156093,431424027,403194222,2372263782,5871198801,212881697432,24122371558,38949376098,38951742224,49740448787,79776128084,2198220605,507751089,575730904415,1123851347,105286553890,50675232334,4822071012,157456846848,102633481416,1857623268,2371959348,578967900,32685426365,25136507226,678416130631,194107840680,159311255500,160851694134,512.28,2.08,5.47,119.39,11.36,3.66,5.61,2.2,2.81,0.69,0.4,1.3,6.99,0.99
500.perlbench_r,56,690959585,579163177292,105919155534,1133520056,165781722875,236591108615,49317,1326254240,4103218590,1639,55861,1850421848,158398119994,100222666176,2339275549,78012029,461649934,16147112,11126593,66890450,1169072717,109328900857,106569983364,36823438,163399951699,4867051,106509058732,3633010,17492783,1100016296,3886109656,588231897,447957857,419640133,2462178475,6086859837,220873739079,25118803742,40492472223,40494906206,51677456636,82819167122,2279429941,526947681,597095482887,1166476535,109195779964,52555867342,5000417662,163298542042,106441639721,1925844933,2461395670,600263734,33863487307,26049768915,703915619579,201384210262,165260179625,166855835333,511.88,2.08,5.47,119.41,11.36,3.66,5.61,2.2,2.81,0.69,0.4,1.3,6.99,0.99
500.perlbench_r,58,715830991,599980020917,109722809317,1174602653,171717948375,245066296920,49349,1373744093,4253378377,1655,57862,1915545168,164086696409,103873224512,2422602756,80824520,478605193,16695228,11423706,69394023,1212137223,113203497381,110322707156,38293591,169203425145,5067120,110269055444,3777074,18225810,1145314635,4043153829,612296200,466220041,436231698,2561895884,6332575338,228856813528,26094427559,42042434851,42044952779,53639817619,85912866770,2370470175,548316148,618209058307,1209686392,113073164496,54426425873,5179857609,169089163025,110194853229,2004122756,2563558772,626602069,35327427730,27172549816,728459387976,208481523832,171205408500,172861327677,511.05,2.08,5.47,119.35,11.36,3.66,5.61,2.21,2.83,0.69,0.4,1.3,6.99,0.99
500.perlbench_r,60,743911235,620068054252,113415024897,1216342914,177649061375,253535498883,49401,1421192977,4424798355,1668,59861,1989469335,169596777903,107472112189,2504734423,83992241,495462151,17252812,11724991,71902841,1254646680,117115116730,114107111756,39778030,174972435584,5264465,114005734185,3911429,18921295,1189315484,4193980565,634450969,483439836,453340935,2655928409,6568868899,236851063382,27035662089,43534264726,43536872919,55550918214,88940394634,2462837779,569204197,639416041967,1251781608,116967627605,56305722376,5360616547,174910612733,113968147334,2082337193,2660630295,648395607,36620326873,28174321858,753613191139,215715774490,177152909625,178866293494,510.8,2.08,5.47,119.28,11.36,3.66,5.61,2.22,2.83,0.69,0.4,1.3,6.99,0.99
