workload,cycles,cache-misses,instructions,stalled-cycles-backend,branch-misses,context-switches,iTLB-load-misses,IpNReturn,IpMispredict,BpTkBranch
500.perlbench_r,838240816208,3713861786,1943193342862,193039226391,2998106983,20689,1383809,94.94,647.46,1.99
500.perlbench_r,846301345114,3737068215,1961254852353,193922739624,3021737067,20889,1383860,94.67,648.34,1.99
500.perlbench_r,854384771655,3756204023,1979296929826,194824276349,3045227807,21079,1384115,94.41,649.22,1.99
500.perlbench_r,862468794036,3783364881,1997457815522,195694587596,3068777571,21273,1384319,94.16,650.08,1.99
500.perlbench_r,870533119388,3824517789,2012826427635,198366435221,3085196670,21470,1389939,93.91,651.31,1.99
500.perlbench_r,878571640735,3865716208,2025975070638,201470443585,3094308798,21667,1391356,93.78,653.57,1.99
500.perlbench_r,886606690240,3910724653,2038053629155,205046990608,3100741735,21872,1393217,93.59,656.14,1.99
500.perlbench_r,894650190138,3956173533,2050208695998,208753997802,3107090489,22077,1393934,93.41,658.71,1.99
500.perlbench_r,902724608401,4001749732,2062356746786,212483238480,3113541809,22280,1394685,93.22,661.28,1.99
500.perlbench_r,910795453505,4047251807,2074516058460,216244273605,3119745270,22485,1395423,93.04,663.88,1.99
500.perlbench_r,918870998164,4092802189,2086672247578,219901562515,3126179398,22687,1396138,92.86,666.43,1.99
500.perlbench_r,926947636899,4138342550,2098817252542,223558956732,3132557682,22894,1397140,92.68,668.97,1.98
500.perlbench_r,934922055866,4183312624,2110805335776,226859544249,3138921549,23097,1400452,92.51,671.48,1.98
500.perlbench_r,942996731898,4228981659,2123017577227,230247070871,3145339902,23297,1402114,92.33,674.01,1.98
500.perlbench_r,951044001495,4274670043,2135217423802,233534770746,3151777344,23498,1403617,92.17,676.51,1.98
500.perlbench_r,959083352695,4320082064,2147345573941,236948483802,3158151400,23702,1404979,92,679.01,1.98
500.perlbench_r,967158271725,4365819241,2159543929409,240344604765,3164530070,23903,1406164,91.84,681.51,1.98
500.perlbench_r,975233872978,4411517702,2171742629189,243634352479,3170940114,24105,1407343,91.67,684,1.98
500.perlbench_r,983308778687,4457415710,2183949001483,247152188230,3177369572,24306,1408579,91.51,686.47,1.98
500.perlbench_r,991383262163,4503214722,2196128253690,250699975161,3183755879,24503,1409492,91.36,688.93,1.98
500.perlbench_r,999457719459,4548917367,2208335592567,254005819262,3190063449,24700,1410689,91.2,691.42,1.98
500.perlbench_r,1007531885596,4594511572,2220545857453,257344302874,3196352121,24897,1411913,91.05,693.89,1.98
500.perlbench_r,1015605510418,4640232257,2232729773952,260313477109,3202685459,25097,1413028,90.9,696.35,1.98
500.perlbench_r,1023678984139,4685959251,2244917817772,263670688534,3208894172,25305,1414268,90.75,698.8,1.98
500.perlbench_r,1031753435639,4731734815,2257110374886,267169769586,3215212307,25497,1415470,90.61,701.24,1.98
