workload,cycles,cache-misses,instructions,cycle_activity.stalls_total,branch-misses,context-switches,iTLB-load-misses,IpCall,IpLoad,IpMispredict,BpTkBranch,MLP
execl,281393671305,105515037,229597093079,127482373803,895271177,7689,95103780,38.72,3.68,249.54,1.84,1.42
execl,285475581380,106716010,232863790094,129297336278,907856529,7764,96467772,38.72,3.68,249.52,1.84,1.42
execl,289725938106,108223847,236437424601,131293331591,921554023,7848,97997745,38.72,3.68,249.54,1.84,1.42
execl,293985448741,109713068,239982617572,133274283978,935214217,7932,99478712,38.72,3.68,249.57,1.84,1.42
execl,298196188602,112312801,243443731427,135224468274,948630779,7989,100984871,38.72,3.68,249.59,1.84,1.42
execl,302441226522,114013283,247019639602,137187437925,962499090,8054,102435465,38.72,3.68,249.61,1.84,1.42
execl,306703032344,115789841,250592632542,139168574180,976422124,8110,104003610,38.72,3.68,249.64,1.84,1.42
execl,310584925935,117373074,253526921203,140793318541,987772078,8322,105179582,38.72,3.68,249.67,1.84,1.42
execl,314772002340,118982478,257008467309,142696846429,1001217950,8404,106683489,38.72,3.68,249.69,1.84,1.42
execl,319034783241,120506533,260632741480,144673143865,1015122959,8492,108282954,38.72,3.68,249.7,1.84,1.42
execl,323080816279,122027247,263874612155,146449139216,1027580682,8564,109619665,38.72,3.68,249.72,1.84,1.42
execl,327367223342,123539057,267548515969,148455944387,1041770211,8629,111157751,38.72,3.68,249.72,1.84,1.42
execl,331612998504,125632883,271111502796,150440771719,1055548443,8719,112535110,38.72,3.68,249.71,1.84,1.42
execl,335645156908,127681862,274290398976,152226737695,1068018648,9051,113789201,38.72,3.68,249.72,1.84,1.42
execl,339904343689,129082988,277880430141,154209427900,1081922650,9134,115238361,38.72,3.68,249.72,1.84,1.42
execl,344163480440,130639579,281481379605,156175724218,1095806829,9207,116769994,38.72,3.68,249.71,1.84,1.42
execl,347996117035,132055425,284338850677,157755204854,1106954385,9284,118006010,38.72,3.68,249.72,1.84,1.42
execl,352021557279,133707188,287509902371,159517695622,1119223374,9339,119268351,38.72,3.68,249.72,1.84,1.42
execl,356003913031,135275476,290985092792,161436734508,1132633532,9411,120736448,38.73,3.68,249.72,1.84,1.42
execl,360392502327,137109023,294778099452,163545144925,1147329256,9543,122363052,38.72,3.68,249.73,1.84,1.42
execl,364647385826,138504108,298364312878,165530141907,1161151129,9655,123848643,38.73,3.68,249.73,1.84,1.42
execl,368881960038,140015350,301916669383,167490105404,1174858031,9759,125313827,38.73,3.68,249.74,1.84,1.42
execl,373104498307,141961103,305452002832,169430142188,1188517228,9829,126849048,38.73,3.68,249.75,1.84,1.42
execl,376597984772,143704606,307727304886,170696066066,1197334320,9941,127788996,38.73,3.68,249.76,1.84,1.42
execl,380842044403,145592556,311250974917,172672046061,1211005980,10031,129272641,38.73,3.68,249.77,1.84,1.42
execl,385078414705,147378564,314791518324,174634674798,1224733150,10133,130816424,38.73,3.68,249.75,1.84,1.42
execl,389351743307,149037882,318377163539,176622663898,1238625897,10201,132269909,38.73,3.68,249.75,1.84,1.42
execl,393600155036,150400701,321965971686,178595708259,1252516813,10271,133765360,38.73,3.68,249.74,1.84,1.42
execl,397875359493,151740472,325581108473,180575201746,1266520338,10343,135235178,38.73,3.68,249.77,1.84,1.42
execl,402147011065,153277522,329156383736,182573170881,1280336605,10437,136778307,38.73,3.68,249.81,1.84,1.42
execl,405431230798,154109888,331050720253,183631573041,1287631809,10490,137526903,38.73,3.68,249.84,1.84,1.42
pipe,4066350150,75848,1831501802,2266135178,5448865,7,1554286,30.59,3.25,335.99,1.73,1.39
pipe,8610119893,151520,3802085702,4706445811,11307247,14,3226799,30.58,3.25,336.2,1.72,1.36
pipe,12888236766,227216,5692869726,7049494107,16928225,20,4831552,30.58,3.25,336.26,1.72,1.34
pipe,17160368524,304092,7573456019,9379951796,22518757,26,6427663,30.58,3.25,336.29,1.72,1.35
pipe,21440078877,367872,9462164290,11718252932,28133275,34,8030667,30.58,3.25,336.31,1.72,1.34
pipe,25713072680,453022,11353960685,14063024003,33757151,40,9636287,30.58,3.25,336.32,1.72,1.33
pipe,30003349977,524843,13245572898,16405106173,39380398,47,11241757,30.58,3.25,336.33,1.72,1.33
pipe,34271328436,582089,15143491407,18752860953,45022306,53,12852591,30.58,3.25,336.34,1.72,1.33
pipe,38539964045,660980,17033170644,21094845772,50639985,59,14456382,30.58,3.25,336.35,1.72,1.33
pipe,42827861182,731061,18925573848,23439465001,56265518,63,16062573,30.58,3.25,336.36,1.72,1.33
pipe,47106550374,792973,20817959082,25782958484,61891005,72,17668724,30.58,3.25,336.36,1.72,1.33
pipe,51399724718,854490,22710380136,28126494035,67516702,77,19274893,30.58,3.25,336.36,1.72,1.33
pipe,55696183905,933314,24604194825,30473326170,73146441,83,20882225,30.58,3.25,336.36,1.72,1.33
pipe,59989641873,992723,26496558682,32816719372,78771980,88,22488350,30.58,3.25,336.37,1.72,1.33
pipe,64276113487,1053725,28390129431,35161570391,84401129,95,24095493,30.58,3.25,336.37,1.72,1.33
pipe,68567888490,1139967,30279402780,37503542498,90017325,104,25698922,30.58,3.25,336.37,1.72,1.33
pipe,72860759290,1196719,32171413924,39846564524,95641726,110,27304747,30.58,3.25,336.37,1.72,1.33
pipe,77151783979,1254850,34062801518,42188554057,101264365,116,28910053,30.58,3.25,336.38,1.72,1.33
pipe,81445512403,1327265,35954954070,44532748731,106889284,125,30515954,30.58,3.25,336.38,1.72,1.33
pipe,85737982754,1401026,37846135016,46875989701,112511269,132,32121074,30.58,3.25,336.38,1.72,1.33
pipe,90029058563,1457181,39736005549,49216142262,118129262,136,33725110,30.58,3.25,336.38,1.72,1.33
pipe,94321857153,1516261,41628737243,51559842676,123755703,142,35331534,30.58,3.25,336.38,1.72,1.33
pipe,98613758962,1597406,43519026851,53902762085,129374977,148,36935873,30.58,3.25,336.38,1.72,1.33
pipe,102907717242,1655799,45411546784,56246248127,135000738,155,38542156,30.58,3.25,336.38,1.72,1.33
pipe,107193529308,1713980,47304588894,58590257391,140628336,161,40148826,30.58,3.25,336.38,1.72,1.33
pipe,111482024133,1792945,49195717508,60933883413,146250372,170,41753878,30.58,3.25,336.38,1.72,1.33
pipe,115765012763,1851030,51087386064,63276286226,151873835,176,43359442,30.58,3.25,336.38,1.72,1.33
pipe,120055624229,1908362,52978231475,65617622397,157494746,184,44964250,30.58,3.25,336.39,1.72,1.32
pipe,124348017728,1975837,54869009071,67959943548,163115504,190,46569049,30.58,3.25,336.39,1.72,1.33
pipe,128626071193,2033442,56758544691,70299780086,168732588,196,48172776,30.58,3.25,336.39,1.72,1.33
pipe,132908513610,2088660,58649057687,72640512751,174352790,205,49777303,30.58,3.25,336.39,1.72,1.33
pipe,137198314907,2164090,60539891818,74983384846,179973804,213,51382119,30.58,3.25,336.39,1.72,1.33
pipe,141489176628,2227986,62434210505,77328849612,185605101,219,52989859,30.58,3.25,336.39,1.72,1.33
pipe,145782771281,2286936,64327968218,79671178902,191234667,225,54597166,30.58,3.25,336.39,1.72,1.33
pipe,150064511843,2362692,66219522493,82012991277,196857735,236,56202583,30.58,3.25,336.39,1.72,1.33
pipe,154355185349,2431719,68109661947,84352792257,202476725,243,57806799,30.58,3.25,336.39,1.72,1.33
pipe,158642008282,2490236,69997559960,86690197526,208089085,249,59409140,30.58,3.25,336.39,1.72,1.32
pipe,162910838716,2559133,71888415904,89031317396,213710492,256,61013960,30.58,3.25,336.39,1.72,1.32
pipe,167181838953,2638293,73781857587,91377398235,219339380,263,62620978,30.58,3.25,336.39,1.72,1.32
pipe,171463142200,2704728,75674390901,93720638797,224965602,271,64227222,30.58,3.25,336.39,1.72,1.32
pipe,175746425471,2765280,77562892229,96058830557,230579760,281,65830108,30.58,3.25,336.39,1.72,1.33
pipe,180039837915,2854522,79456874083,98406976248,236210114,288,67437622,30.58,3.25,336.39,1.72,1.32
pipe,184319044191,2918858,81351543630,100753197979,241842512,301,69045654,30.58,3.25,336.39,1.72,1.33
pipe,188608489454,2974517,83242802345,103094946815,247464641,305,70650837,30.58,3.25,336.39,1.72,1.33
pipe,192898383863,3050837,85134708883,105437678038,253088703,310,72256558,30.58,3.25,336.39,1.72,1.33
pipe,197186789613,3116454,87027385215,107779441406,258715095,318,73862903,30.58,3.25,336.39,1.72,1.32
pipe,201479196587,3176937,88923423409,110126843497,264351349,324,75472135,30.58,3.25,336.39,1.72,1.33
pipe,205769409274,3243228,90817766200,112473140693,269982678,330,77079929,30.58,3.25,336.39,1.72,1.32
pipe,210062490948,3325331,92712024640,114820861145,275613795,336,78687651,30.58,3.25,336.39,1.72,1.32
pipe,214358745269,3381831,94606476723,117166532229,281245385,339,80295543,30.58,3.25,336.39,1.72,1.32
pipe,218648427926,3437420,96498440783,119509129412,286869779,347,81901296,30.58,3.25,336.39,1.72,1.32
pipe,222938333855,3523811,98387601788,121851149788,292485754,353,83504695,30.58,3.25,336.39,1.72,1.32
pipe,227224644886,3580545,100277776299,124191686477,298104779,361,85108951,30.58,3.25,336.39,1.72,1.32
pipe,231492886696,3647303,102152611702,126514699024,303678395,369,86700360,30.58,3.25,336.39,1.72,1.32
pipe,236117574970,3744443,104350881709,129239920192,310213420,377,88566158,30.58,3.25,336.39,1.72,1.32
pipe,240409425420,3805380,106241666175,131581521334,315834445,387,90170963,30.58,3.25,336.39,1.72,1.32
pipe,244689638733,3859395,108131560110,133921489304,321452715,396,91774988,30.58,3.25,336.39,1.72,1.32
pipe,248967416524,3933975,110020778601,136262492780,327069001,401,93378430,30.58,3.25,336.39,1.72,1.32
pipe,253236885015,4008332,111912940688,138606826348,332693890,407,94984373,30.58,3.25,336.39,1.72,1.32
pipe,257521362549,4062541,113807352767,140952232144,338325439,412,96592255,30.58,3.25,336.39,1.72,1.32
pipe,261806260250,4123300,115701022741,143297337107,343954842,421,98199478,30.58,3.25,336.39,1.72,1.32
pipe,266095019344,4204379,117591148186,145640241333,349573668,425,99803733,30.58,3.25,336.39,1.72,1.32
pipe,270370583896,4271427,119476021960,147975202967,355177033,434,101403486,30.58,3.25,336.39,1.72,1.32
pipe,274653061067,4329392,121368198692,150317842684,360802222,441,103009404,30.58,3.25,336.39,1.72,1.32
pipe,278945126568,4398211,123259736966,152661008114,366425221,449,104614812,30.58,3.25,336.39,1.72,1.32
pipe,283232709426,4453664,125149594969,155001076349,372043400,455,106218830,30.58,3.25,336.39,1.72,1.32
pipe,287527455976,4512849,127042717930,157345401104,377671163,462,107825603,30.58,3.25,336.39,1.72,1.32
pipe,291814834188,4592371,128931853569,159687023149,383287048,466,109428988,30.58,3.25,336.39,1.72,1.32
pipe,296101644923,4651244,130823572131,162029607226,388910598,473,111034574,30.58,3.25,336.39,1.72,1.32
pipe,300389519468,4713075,132715524240,164372820929,394534858,478,112640367,30.58,3.25,336.39,1.72,1.32
pipe,304680434913,4781969,134607450300,166716498625,400158990,486,114246099,30.58,3.25,336.39,1.72,1.32
pipe,308962487640,4852408,136494527301,169054764899,405768644,490,115847733,30.58,3.25,336.39,1.72,1.32
pipe,313243869221,4910682,138385109039,171395979393,411388671,496,117452329,30.58,3.25,336.39,1.72,1.32
pipe,317526998990,4967615,140276084746,173737563060,417010026,500,119057287,30.58,3.25,336.39,1.72,1.32
pipe,321803021920,5050747,142162715737,176076233833,422618564,507,120658475,30.58,3.25,336.39,1.72,1.32
pipe,326098678933,5114090,144058192597,178423419513,428253394,513,122267176,30.58,3.25,336.4,1.72,1.32
pipe,330390440525,5169629,145950245130,180766145843,433878042,521,123873066,30.58,3.25,336.4,1.72,1.32
pipe,334682074212,5247711,147840741277,183109417813,439497939,526,125477600,30.58,3.25,336.4,1.72,1.32
pipe,338970944868,5313878,149730587880,185450481917,445115947,533,127081573,30.58,3.25,336.4,1.72,1.32
pipe,343260060501,5371195,151623463103,187794294500,450743044,539,128688143,30.58,3.25,336.4,1.72,1.32
pipe,347541411798,5433542,153515046769,190137000839,456366231,547,130293574,30.58,3.25,336.4,1.72,1.32
pipe,351832582217,5510564,155405423176,192480104150,461985970,551,131898098,30.58,3.25,336.4,1.72,1.32
pipe,356149534609,5573964,157320241627,194852196527,467678107,558,133523271,30.58,3.25,336.4,1.72,1.32
pipe,360444405525,5632612,159213162931,197196195509,473305180,565,135129846,30.58,3.25,336.4,1.72,1.32
pipe,364736057872,5714445,161105184139,199540881195,478929626,574,136735654,30.58,3.25,336.4,1.72,1.32
pipe,369030480363,5778134,162997735138,201884774045,484555633,579,138341943,30.58,3.25,336.4,1.72,1.32
pipe,373322824001,5836337,164889945336,204227680615,490180648,586,139947930,30.58,3.25,336.4,1.72,1.32
pipe,377602864257,5898416,166769649776,206556463930,495768462,591,141543325,30.58,3.25,336.4,1.72,1.32
pipe,381897025461,5977572,168662042484,208902027191,501394212,598,143149493,30.58,3.25,336.4,1.72,1.32
pipe,386191090241,6034620,170554391537,211245134254,507019705,603,144755609,30.58,3.25,336.4,1.72,1.32
pipe,390483108350,6088908,172445225142,213586228873,512640633,611,146360426,30.58,3.25,336.4,1.72,1.32
pipe,394779595949,6172042,174337939993,215932291179,518267008,614,147966835,30.58,3.25,336.4,1.72,1.32
pipe,399069809694,6240807,176227326594,218273311984,523883681,622,149570475,30.58,3.25,336.4,1.72,1.32
pipe,403364148931,6303418,178119329032,220617276994,529508153,626,151176365,30.58,3.25,336.4,1.72,1.32
pipe,407649796335,6385988,180009404922,222959989923,535126955,634,152780521,30.58,3.25,336.4,1.72,1.32
pipe,411940086786,6446873,181899786151,225301061536,540746521,643,154384959,30.58,3.25,336.4,1.72,1.32
pipe,416227371341,6508108,183793067169,227645558158,546374738,650,155991842,30.58,3.25,336.4,1.72,1.32
pipe,420503062120,6571577,185681691470,229984922615,551988957,654,157594873,30.58,3.25,336.4,1.72,1.32
pipe,424833421156,6634142,187614207120,232378219395,557733934,666,159235061,30.58,3.25,336.4,1.72,1.32
pipe,428203531521,6705270,188907612000,233980305647,561581078,669,160332636,30.58,3.25,336.39,1.72,1.32
context1,1929951360,255737,1611104602,1058815529,5080398,189021,409053,38.18,3.79,344.77,1.84,1.67
context1,4006393352,484533,3359492091,2193341131,10588693,394333,825298,38.19,3.79,346.28,1.84,1.68
context1,6005801943,789563,5048231443,3296278549,15865904,591660,1222503,38.19,3.79,345.17,1.84,1.69
context1,7998101093,1022429,6719027523,4393148669,21135594,787726,1647621,38.19,3.79,344.92,1.84,1.69
context1,9995199795,1253754,8393368907,5492011762,26404574,983781,2045214,38.19,3.79,344.39,1.84,1.69
context1,12002237211,1511673,10079772688,6604935487,31639333,1181652,2455474,38.19,3.79,344.3,1.84,1.69
context1,14000247906,1771627,11758921081,7704831925,36888587,1378802,2862099,38.19,3.79,344.61,1.84,1.69
context1,16000602437,1973835,13447340820,8806005406,42180424,1576995,3270985,38.19,3.79,344.49,1.84,1.68
context1,18001602746,2184671,15137526106,9909670322,47460972,1775299,3723826,38.19,3.79,344.32,1.84,1.68
context1,20006060831,2454053,16822716450,11022892787,52755743,1972969,4152248,38.19,3.79,344.81,1.84,1.68
context1,22004709180,2703387,18513987419,12127928526,58091783,2171322,4556329,38.19,3.79,344.88,1.84,1.68
context1,24009392747,2897244,20204283782,13233174147,63384708,2369601,4956913,38.19,3.79,344.88,1.84,1.68
context1,26012074818,3199426,21899357062,14341048264,68735965,2568137,5355684,38.19,3.79,345.1,1.84,1.68
context1,28020652493,3446885,23598644617,15452416641,74076065,2767680,5785123,38.19,3.79,344.9,1.84,1.68
context1,30022670604,3629610,25286667400,16552508200,79349798,2965899,6212193,38.19,3.79,344.75,1.84,1.68
context1,32031716908,3840835,26977904639,17659857092,84633549,3164091,6615044,38.19,3.79,344.36,1.84,1.68
context1,34040796488,4120253,28671905417,18773973396,89925558,3362961,7023224,38.19,3.79,344.53,1.84,1.68
context1,36048788538,4337365,30374370270,19883809154,95285656,3562875,7436195,38.19,3.79,344.53,1.84,1.68
context1,38054518872,4534289,32069490067,20991575238,100574347,3761930,7836578,38.19,3.79,344.37,1.84,1.68
context1,40060904410,4845100,33764023401,22101798633,105946768,3960923,8241801,38.19,3.79,344.3,1.84,1.68
context1,42064273288,5036360,35462961170,23204403360,111276022,4160345,8642449,38.19,3.79,343.93,1.84,1.68
context1,44069699983,5246272,37153568934,24311962448,116647425,4358868,9043922,38.19,3.79,343.86,1.84,1.68
context1,46069826770,5463431,38831382641,25416279249,121938704,4555640,9492052,38.18,3.79,343.69,1.84,1.68
context1,48072229009,5711785,40518387157,26527733231,127298876,4753657,9984368,38.18,3.79,343.67,1.84,1.68
context1,50071907185,5916282,42209610348,27624839424,132606513,4952010,10400912,38.19,3.79,343.76,1.84,1.68
context1,52077003273,6109942,43904892199,28729431867,137955521,5150725,10801197,38.19,3.79,343.77,1.84,1.68
context1,54074915904,6401853,45577328590,29830238261,143233029,5347079,11280604,38.19,3.79,343.54,1.84,1.68
context1,56074272257,6633135,47261098010,30936574464,148533491,5544797,11724338,38.19,3.79,343.65,1.84,1.68
context1,58079701052,6833141,48941063658,32041277626,153845283,5742014,12244485,38.19,3.79,343.82,1.84,1.68
context1,60087376867,7085574,50632800178,33147872986,159154826,5940655,12642336,38.19,3.79,343.88,1.84,1.68
context1,62087343550,7340129,52317856492,34249642686,164467166,6138535,13057353,38.18,3.79,343.72,1.84,1.68
context1,64086856684,7530010,54019746525,35348687496,169821895,6338386,13457030,38.18,3.79,343.53,1.84,1.68
context1,66087193586,7764375,55711589138,36447296484,175163946,6537009,13929406,38.18,3.79,343.52,1.84,1.68
context1,68095486605,8035802,57412704913,37555904652,180518616,6736752,14355786,38.18,3.79,343.48,1.84,1.68
context1,70102048312,8240221,59114923951,38666624042,185884577,6936546,14755631,38.18,3.79,343.39,1.84,1.68
context1,72111766329,8424637,60818245010,39770550768,191218051,7136517,15174982,38.18,3.79,343.48,1.84,1.68
context1,74120902635,8707453,62511729407,40875647881,196592796,7335382,15607311,38.18,3.79,343.5,1.84,1.68
context1,76129908388,8940163,64197054136,41994032611,201880882,7533129,16019536,38.18,3.79,343.48,1.84,1.68
context1,78137541662,9144942,65892774092,43100441827,207249738,7732189,16417909,38.18,3.79,343.43,1.84,1.68
context1,80139743735,9401747,67582342693,44201560740,212601967,7930600,16834218,38.18,3.79,343.54,1.84,1.68
context1,82147000418,9661381,69280037294,45309335221,217895071,8129963,17280522,38.18,3.79,343.52,1.84,1.68
context1,84155839706,9852022,70980128599,46414535141,223280826,8329309,17695613,38.18,3.79,343.54,1.84,1.68
context1,86157086451,10055736,72667880589,47514956838,228580629,8527469,18098625,38.18,3.79,343.47,1.84,1.68
context1,88160320848,10353578,74345586983,48615387327,233864120,8723691,18539611,38.19,3.79,343.35,1.84,1.68
context1,90165210237,10589061,76036833870,49722421650,239158800,8921996,18982702,38.19,3.79,343.37,1.84,1.68
context1,92162682638,10795487,77713667360,50822521988,244416391,9118732,19428897,38.19,3.79,343.45,1.84,1.68
context1,94178867390,11078245,79415459960,51942220752,249809542,9318501,19829843,38.19,3.79,343.44,1.84,1.68
context1,96180715882,11356827,81095593379,53051490399,255067584,9515777,20245646,38.19,3.79,343.37,1.84,1.68
context1,98167318011,11585573,82767155473,54138428511,260327399,9711769,20642163,38.19,3.79,343.3,1.84,1.68
context1,100168031622,11801306,84458933406,55238150784,265670011,9910386,21040709,38.19,3.79,343.33,1.84,1.68
context1,102154503104,12120214,86137140287,56339755014,270946279,10107455,21441533,38.19,3.79,343.33,1.84,1.68
context1,104138559250,12324531,87821827792,57446000143,276259765,10304897,21842813,38.19,3.79,343.31,1.84,1.68
context1,106149111757,12523259,89517705714,58558351962,281607441,10504042,22262537,38.19,3.79,343.38,1.84,1.68
context1,108153767131,12809956,91207326600,59669111968,286969290,10702266,22694054,38.19,3.79,343.37,1.84,1.68
context1,110157356969,13045242,92904462055,60771579756,292276219,10901555,23092724,38.19,3.79,343.36,1.84,1.68
context1,112158917239,13231514,94601659151,61871083211,297573800,11100764,23491472,38.19,3.79,343.36,1.84,1.68
context1,114156687934,13462761,96286713713,62977470441,302842798,11298188,23902549,38.19,3.79,343.4,1.84,1.68
context1,116156021328,13791905,97962339455,64082403720,308125749,11494929,24337517,38.19,3.79,343.45,1.84,1.68
context1,118154695371,13998454,99650432394,65178095450,313430793,11692798,24768503,38.19,3.79,343.49,1.84,1.68
